scenarioId,milestone,verdict,verdictClass,cleanExpectedMatches,mustFindExpected,missingExpectedFindings,mustNotFindViolations,unexpectedFindings,unexpectedRegexOnlyFindings,sameSurfaceExtraFindings,sameFileDifferentSignalFindings,mayFindReview,explainabilityFailures,refStateFailures,noiseCount,noiseBreakdown,finalVerdictReason,dossierMissing,fillerRatio,realismScore,dossierPath,logsPath,liveBusinessCode,liveConfig,tests,docs,scripts,fixtures,vendorGenerated,syntheticFiller
G-V1-CONFIG-004,M1,PASS_CLEAN,PASS_CLEAN,4,4,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.96318407960199,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-CONFIG-004.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M1\legacy-admin-config\validation\runnability-logs,0,19,2,11,2,0,143,4840
G-V1-JAVA-001,M1,PASS_CLEAN,PASS_CLEAN,4,4,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.6984126984126984,3,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-JAVA-001.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M1\payments-service-java\validation\runnability-logs,1205,6,105,14,1,0,162,3520
G-V1-PY-002,M1,PASS_CLEAN,PASS_CLEAN,4,4,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9351522340846185,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-PY-002.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M1\notification-worker-python\validation\runnability-logs,88,1,32,11,1,0,180,4730
G-V1-TS-003,M1,PASS_CLEAN,PASS_CLEAN,4,4,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.4853590052146009,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-TS-003.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M1\partner-api-node\validation\runnability-logs,31,1,16,11,2,0,280,4840
G-V2-HIST-001,M2,PASS_CLEAN,PASS_CLEAN,1,1,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.7035778532880271,3,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V2-HIST-001.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M2\payments-history-lineage\validation\runnability-logs,1207,3,104,12,1,0,129,3520
G-V2-HIST-002,M2,PASS_CLEAN,PASS_CLEAN,1,1,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.4875591820288103,2,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V2-HIST-002.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M2\partner-branch-divergence\validation\runnability-logs,22,0,16,11,1,0,246,4840
G-V2-HIST-003,M2,PASS_CLEAN,PASS_CLEAN,2,2,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9347826086956522,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V2-HIST-003.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M2\pem-rotation-lineage\validation\runnability-logs,87,0,32,13,1,0,182,4730
M-V8-001,M8,FAIL_EXPLAINABILITY,FAIL_EXPLAINABILITY,3,6,0,0,29,29,6,23,0,3,0,29,"sameFileDifferentSignalFindings=23, sameSurfaceExtraFindings=6, unexpectedRegexOnlyFindings=29","3 expected finding(s) had candidates but failed semantic explainability requirements; 29 unexpected/noisy finding(s) remained after matching (same-surface-extra=6, same-file-different-signal=23, regex-only=29)",False,0.5464187420285964,3,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\M-V8-001.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M8\internal-platform-monorepo\validation\runnability-logs,1552,5,0,44,1,0,366,8140
M-V8-002,M8,FAIL_FN,FAIL_FN,2,4,1,0,1,1,1,0,0,1,0,1,"sameSurfaceExtraFindings=1, unexpectedRegexOnlyFindings=1","1 expected finding(s) were not detected at all; 1 expected finding(s) had candidates but failed semantic explainability requirements; 1 unexpected/noisy finding(s) remained after matching (same-surface-extra=1, regex-only=1)",False,0.5875067729700442,2,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\M-V8-002.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M8\infra-app-mixed-repo\validation\runnability-logs,204,3,32,22,2,0,277,7590
N-V7-DOCS-001,M7,PASS_CLEAN,PASS_CLEAN,0,0,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9467574059247398,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\N-V7-DOCS-001.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\generated\M7\docs-samples-repo\validation\runnability-logs,85,0,32,13,1,0,120,4730
