rule_key,module,bucket,distinctScenarioCount,totalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,regexOnlyCount,hybridCount,semanticCount,astCount,regexOnlyOnlyExercised,scenarios,title,severity,finding_kind,family,language
guardian.1password-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1password Secret Key,CRITICAL,SECRET,1password-secret-key,
guardian.1password-service-account-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1password Service Account Token,HIGH,SECRET,1password-service-account-token,
guardian.adafruit-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Adafruit API Key,HIGH,SECRET,adafruit-api-key,
guardian.adobe-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Adobe Client ID,HIGH,SECRET,adobe-client-id,
guardian.adobe-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Adobe Client Secret,HIGH,SECRET,adobe-client-secret,
guardian.age-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Age Secret Key,CRITICAL,SECRET,age-secret-key,
guardian.airtable-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Airtable API Key,HIGH,SECRET,airtable-api-key,
guardian.airtable-personnal-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Airtable Personnal Access Token,HIGH,SECRET,airtable-personnal-access-token,
guardian.algolia-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Algolia API Key,HIGH,SECRET,algolia-api-key,
guardian.alibaba-access-key-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Alibaba Access Key ID,HIGH,SECRET,alibaba-access-key-id,
guardian.alibaba-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Alibaba Secret Key,CRITICAL,SECRET,alibaba-secret-key,
guardian.anthropic-admin-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Anthropic Admin API Key,HIGH,SECRET,anthropic-admin-api-key,
guardian.anthropic-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Anthropic API Key,HIGH,SECRET,anthropic-api-key,
guardian.artifactory-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Artifactory API Key,HIGH,SECRET,artifactory-api-key,
guardian.artifactory-reference-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Artifactory Reference Token,HIGH,SECRET,artifactory-reference-token,
guardian.asana-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Asana Client ID,HIGH,SECRET,asana-client-id,
guardian.asana-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Asana Client Secret,HIGH,SECRET,asana-client-secret,
guardian.atlassian-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Atlassian API Token,HIGH,SECRET,atlassian-api-token,
guardian.authress-service-client-access-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Authress Service Client Access Key,HIGH,SECRET,authress-service-client-access-key,
guardian.aws-access-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,AWS Access Key ID,HIGH,SECRET,aws-access-key,
guardian.aws-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,AWS Access Token,HIGH,SECRET,aws-access-token,
guardian.aws-amazon-bedrock-api-key-long-lived,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,AWS Amazon Bedrock API Key Long Lived,HIGH,SECRET,aws-amazon-bedrock-api-key-long-lived,
guardian.aws-amazon-bedrock-api-key-short-lived,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,AWS Amazon Bedrock API Key Short Lived,HIGH,SECRET,aws-amazon-bedrock-api-key-short-lived,
guardian.aws-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,AWS Secret Access Key,HIGH,SECRET,aws-secret-key,
guardian.azure-ad-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Azure Ad Client Secret,HIGH,SECRET,azure-ad-client-secret,
guardian.beamer-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Beamer API Token,HIGH,SECRET,beamer-api-token,
guardian.bitbucket-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Bitbucket Client ID,HIGH,SECRET,bitbucket-client-id,
guardian.bitbucket-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Bitbucket Client Secret,HIGH,SECRET,bitbucket-client-secret,
guardian.bittrex-access-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Bittrex Access Key,HIGH,SECRET,bittrex-access-key,
guardian.bittrex-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Bittrex Secret Key,CRITICAL,SECRET,bittrex-secret-key,
guardian.cisco-meraki-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Cisco Meraki API Key,HIGH,SECRET,cisco-meraki-api-key,
guardian.clickhouse-cloud-api-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Clickhouse Cloud API Secret Key,CRITICAL,SECRET,clickhouse-cloud-api-secret-key,
guardian.clojars-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Clojars API Token,HIGH,SECRET,clojars-api-token,
guardian.cloudflare-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Cloudflare API Key,HIGH,SECRET,cloudflare-api-key,
guardian.cloudflare-global-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Cloudflare Global API Key,HIGH,SECRET,cloudflare-global-api-key,
guardian.cloudflare-origin-ca-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Cloudflare Origin Ca Key,HIGH,SECRET,cloudflare-origin-ca-key,
guardian.codecov-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Codecov Access Token,HIGH,SECRET,codecov-access-token,
guardian.cohere-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Cohere API Token,HIGH,SECRET,cohere-api-token,
guardian.coinbase-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Coinbase Access Token,HIGH,SECRET,coinbase-access-token,
guardian.confluent-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Confluent Access Token,HIGH,SECRET,confluent-access-token,
guardian.confluent-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Confluent Secret Key,CRITICAL,SECRET,confluent-secret-key,
guardian.contentful-delivery-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Contentful Delivery API Token,HIGH,SECRET,contentful-delivery-api-token,
guardian.curl-auth-header,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Curl Auth Header,HIGH,SECRET,curl-auth-header,
guardian.curl-auth-user,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Curl Auth User,HIGH,SECRET,curl-auth-user,
guardian.databricks-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Databricks API Token,HIGH,SECRET,databricks-api-token,
guardian.datadog-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Datadog Access Token,HIGH,SECRET,datadog-access-token,
guardian.defined-networking-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Defined Networking API Token,HIGH,SECRET,defined-networking-api-token,
guardian.digitalocean-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Digitalocean Access Token,HIGH,SECRET,digitalocean-access-token,
guardian.digitalocean-pat,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Digitalocean Pat,HIGH,SECRET,digitalocean-pat,
guardian.digitalocean-refresh-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Digitalocean Refresh Token,HIGH,SECRET,digitalocean-refresh-token,
guardian.discord-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Discord API Token,HIGH,SECRET,discord-api-token,
guardian.discord-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Discord Client ID,HIGH,SECRET,discord-client-id,
guardian.discord-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Discord Client Secret,HIGH,SECRET,discord-client-secret,
guardian.doppler-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Doppler API Token,HIGH,SECRET,doppler-api-token,
guardian.droneci-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Droneci Access Token,HIGH,SECRET,droneci-access-token,
guardian.dropbox-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Dropbox API Token,HIGH,SECRET,dropbox-api-token,
guardian.dropbox-long-lived-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Dropbox Long Lived API Token,HIGH,SECRET,dropbox-long-lived-api-token,
