rule_key,module,bucket,rawDistinctScenarioCount,surfacedDistinctScenarioCount,rawTotalFindingCount,surfacedTotalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,rawRegexOnlyCount,surfacedRegexOnlyCount,rawHybridCount,surfacedHybridCount,rawSemanticCount,surfacedSemanticCount,rawAstCount,surfacedAstCount,regexOnlyCount,hybridCount,semanticCount,astCount,rawRegexOnlyOnlyExercised,regexOnlyOnlyExercised,rawScenarios,surfacedScenarios,title,severity,finding_kind,family,language
guardian.1password-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,1password Secret Key,CRITICAL,SECRET,1password-secret-key,
guardian.1password-service-account-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,1password Service Account Token,HIGH,SECRET,1password-service-account-token,
guardian.adafruit-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Adafruit API Key,HIGH,SECRET,adafruit-api-key,
guardian.adobe-client-id,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Adobe Client ID,HIGH,SECRET,adobe-client-id,
guardian.adobe-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Adobe Client Secret,HIGH,SECRET,adobe-client-secret,
guardian.age-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Age Secret Key,CRITICAL,SECRET,age-secret-key,
guardian.airtable-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Airtable API Key,HIGH,SECRET,airtable-api-key,
guardian.airtable-personnal-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Airtable Personnal Access Token,HIGH,SECRET,airtable-personnal-access-token,
guardian.algolia-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Algolia API Key,HIGH,SECRET,algolia-api-key,
guardian.alibaba-access-key-id,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Alibaba Access Key ID,HIGH,SECRET,alibaba-access-key-id,
guardian.alibaba-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Alibaba Secret Key,CRITICAL,SECRET,alibaba-secret-key,
guardian.anthropic-admin-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Anthropic Admin API Key,HIGH,SECRET,anthropic-admin-api-key,
guardian.anthropic-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Anthropic API Key,HIGH,SECRET,anthropic-api-key,
guardian.artifactory-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Artifactory API Key,HIGH,SECRET,artifactory-api-key,
guardian.artifactory-reference-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Artifactory Reference Token,HIGH,SECRET,artifactory-reference-token,
guardian.asana-client-id,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Asana Client ID,HIGH,SECRET,asana-client-id,
guardian.asana-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Asana Client Secret,HIGH,SECRET,asana-client-secret,
guardian.atlassian-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Atlassian API Token,HIGH,SECRET,atlassian-api-token,
guardian.authress-service-client-access-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,Authress Service Client Access Key,HIGH,SECRET,authress-service-client-access-key,
guardian.aws-access-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-112,G-V1-COV-112,AWS Access Key ID,HIGH,SECRET,aws-access-key,
guardian.aws-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-101,G-V1-COV-101,AWS Access Token,HIGH,SECRET,aws-access-token,
guardian.aws-amazon-bedrock-api-key-long-lived,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,AWS Amazon Bedrock API Key Long Lived,HIGH,SECRET,aws-amazon-bedrock-api-key-long-lived,
guardian.aws-amazon-bedrock-api-key-short-lived,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,AWS Amazon Bedrock API Key Short Lived,HIGH,SECRET,aws-amazon-bedrock-api-key-short-lived,
guardian.aws-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-112,G-V1-COV-112,AWS Secret Access Key,HIGH,SECRET,aws-secret-key,
guardian.azure-ad-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Azure Ad Client Secret,HIGH,SECRET,azure-ad-client-secret,
guardian.beamer-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Beamer API Token,HIGH,SECRET,beamer-api-token,
guardian.bitbucket-client-id,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Bitbucket Client ID,HIGH,SECRET,bitbucket-client-id,
guardian.bitbucket-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Bitbucket Client Secret,HIGH,SECRET,bitbucket-client-secret,
guardian.bittrex-access-key,guardian,mixed_exercised,1,1,2,2,1,1,2,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Bittrex Access Key,HIGH,SECRET,bittrex-access-key,
guardian.bittrex-secret-key,guardian,mixed_exercised,1,1,2,2,1,1,2,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Bittrex Secret Key,CRITICAL,SECRET,bittrex-secret-key,
guardian.cisco-meraki-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Cisco Meraki API Key,HIGH,SECRET,cisco-meraki-api-key,
guardian.clickhouse-cloud-api-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Clickhouse Cloud API Secret Key,CRITICAL,SECRET,clickhouse-cloud-api-secret-key,
guardian.clojars-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Clojars API Token,HIGH,SECRET,clojars-api-token,
guardian.cloudflare-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-102,G-V1-COV-102,Cloudflare API Key,HIGH,SECRET,cloudflare-api-key,
