rule_key,module,bucket,rawDistinctScenarioCount,surfacedDistinctScenarioCount,rawTotalFindingCount,surfacedTotalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,rawRegexOnlyCount,surfacedRegexOnlyCount,rawHybridCount,surfacedHybridCount,rawSemanticCount,surfacedSemanticCount,rawAstCount,surfacedAstCount,regexOnlyCount,hybridCount,semanticCount,astCount,rawRegexOnlyOnlyExercised,regexOnlyOnlyExercised,rawScenarios,surfacedScenarios,title,severity,finding_kind,family,language
quantum.arq-q-0005-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AEAD Inventory,INFO,INVENTORY,arq-q-0005-java,java
quantum.arq-q-0006-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AEAD Inventory,INFO,INVENTORY,arq-q-0006-java,java
quantum.arq-q-0007-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AES Mode,INFO,INVENTORY,arq-q-0007-java,java
quantum.arq-q-0008-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AES Mode,MEDIUM,INVENTORY,arq-q-0008-java,java
quantum.arq-q-0009-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AES Mode,MEDIUM,INVENTORY,arq-q-0009-java,java
quantum.arq-q-0010-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AES Mode,MEDIUM,INVENTORY,arq-q-0010-java,java
quantum.arq-q-0011-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,AES Mode,MEDIUM,INVENTORY,arq-q-0011-java,java
quantum.arq-q-0012-java,quantum,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,false,false,Q-V3-JAVA-002,Q-V3-JAVA-002,AES Mode,HIGH,VULNERABILITY,arq-q-0012-java,java
quantum.arq-q-0013-java,quantum,mixed_exercised,9,9,13,13,6,3,3,0,0,0,0,0,0,0,13,13,0,0,0,0,0,13,0,0,false,false,M-V8-001;M-V8-003;M-V8-005;M-V8-007;M-V8-009;M-V8-011;M-V8-012;Q-V3-JAVA-001;Q-V3-JAVA-006,M-V8-001;M-V8-003;M-V8-005;M-V8-007;M-V8-009;M-V8-011;M-V8-012;Q-V3-JAVA-001;Q-V3-JAVA-006,AES Mode,HIGH,VULNERABILITY,arq-q-0013-java,java
quantum.arq-q-0014-java,quantum,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,Asymmetric KeyGen Inventory,MEDIUM,INVENTORY,arq-q-0014-java,java
